Date,Close,Open,High,Low
1991-09-09,2772.94,2773.63,2774.53,2765.69
1991-09-10,2756.07,2764.26,2764.26,2750.66
1991-09-11,2749.87,2748.25,2752.54,2745.74
1991-09-12,2763.62,2749.43,2766.34,2749.43
1991-09-13,2772.87,2769.13,2781.56,2765.43
1991-09-16,2767.01,2766.11,2770.17,2757.86
1991-09-17,2773.08,2768.29,2775.07,2761.89
1991-09-18,2789.1,2771.74,2789.1,2768.29
1991-09-19,2800.02,2790.43,2800.91,2777.11
1991-09-20,2842.63,2808.95,2855.97,2806.86
1991-09-23,2857.61,2854.47,2871.99,2852.54
1991-09-24,2851.12,2854.18,2856.48,2841.43
1991-09-25,2857.59,2852.41,2861.43,2850.93
1991-09-26,2857.5,2857.5,2857.5,2852.4
1991-09-27,2847.5,2847.5,2853.4,2847.5
1991-09-30,2826.2,2826.2,2838.7,2826.2
1991-10-01,2830.4,2830.4,2830.4,2813.8
1991-10-02,2830.4,2830.4,2830.4,2819.0
1991-10-03,2830.4,2830.4,2830.4,2830.4
1991-10-04,2740.89,2748.84,2751.19,2727.73
1991-10-07,2760.65,2737.59,2763.78,2737.44
1991-10-08,2754.41,2756.59,2759.27,2746.47
1991-10-09,2759.08,2752.25,2759.08,2751.61
1991-10-10,2756.31,2754.44,2758.63,2751.71
1991-10-11,2744.07,2755.03,2755.77,2739.65
1991-10-14,2726.26,2738.24,2740.42,2720.3
1991-10-15,2735.95,2726.64,2736.16,2724.05
1991-10-16,2751.47,2739.43,2752.28,2739.21
1991-10-17,2747.95,2761.35,2762.7,2743.59
1991-10-18,2759.38,2744.19,2761.13,2742.4
1991-10-21,2777.75,2777.14,2784.0,2772.31
1991-10-22,2806.58,2781.97,2806.61,2781.33
1991-10-23,2796.56,2794.52,2796.56,2781.95
1991-10-24,2771.42,2784.49,2786.28,2765.63
1991-10-25,2756.1,2760.55,2762.21,2752.73
1991-10-28,2786.8,2765.13,2787.04,2764.79
1991-10-29,2777.56,2789.12,2792.34,2776.98
1991-10-30,2775.69,2772.87,2776.4,2768.51
1991-10-31,2765.08,2768.78,2768.87,2760.51
1991-11-04,2709.92,2736.67,2739.36,2705.17
1991-11-05,2709.04,2697.91,2712.07,2697.91
1991-11-06,2694.11,2709.82,2710.26,2690.86
1991-11-07,2673.12,2688.63,2692.29,2673.04
1991-11-08,2704.0,2687.58,2708.04,2687.49
1991-11-11,2698.45,2715.4,2717.77,2689.28
1991-11-12,2677.74,2683.83,2683.98,2671.41
1991-11-13,2660.16,2669.01,2672.39,2650.4
1991-11-14,2632.6,2645.76,2646.08,2625.08
1991-11-15,2634.62,2615.59,2644.62,2614.95
1991-11-18,2600.59,2565.13,2605.08,2564.11
1991-11-19,2594.04,2605.83,2633.68,2587.73
1991-11-20,2615.21,2594.09,2615.29,2591.54
1991-11-21,2604.15,2616.3,2617.47,2592.9
1991-11-22,2597.86,2596.44,2598.19,2586.98
1991-11-25,2567.27,2580.0,2582.95,2552.12
1991-11-26,2585.8,2562.82,2590.01,2562.07
1991-11-27,2587.63,2587.27,2589.39,2561.77
1991-11-28,2609.91,2603.12,2613.02,2601.11
1991-11-29,2610.56,2614.46,2619.93,2598.84
1991-12-02,2573.69,2574.52,2579.27,2558.52
1991-12-03,2596.21,2586.13,2596.46,2582.44
1991-12-04,2598.2,2599.16,2603.32,2598.09
1991-12-05,2588.14,2585.39,2588.7,2576.6
1991-12-10,2550.01,2562.88,2565.25,2549.32
1991-12-11,2524.26,2536.17,2538.04,2518.23
1991-12-12,2535.64,2518.54,2536.41,2518.54
1991-12-13,2546.77,2565.84,2571.29,2543.77
1991-12-16,2514.58,2481.22,2526.6,2481.22
1991-12-17,2507.28,2511.03,2512.6,2501.08
1991-12-18,2482.06,2491.58,2492.02,2476.61
1991-12-19,2452.57,2466.4,2466.4,2439.93
1991-12-20,2465.05,2441.7,2475.3,2438.84
1991-12-23,2457.28,2450.84,2457.82,2445.96
1991-12-26,2492.25,2476.36,2499.5,2476.36
1991-12-27,2513.68,2512.95,2516.67,2503.41
1991-12-30,2561.21,2521.54,2561.21,2521.39
1991-12-31,2603.3,2592.89,2608.42,2584.25
1992-01-02,2507.83,2548.27,2548.27,2500.87
1992-01-03,2572.34,2503.98,2577.24,2503.65
1992-01-07,2607.31,2576.07,2607.31,2575.61
1992-01-08,2627.39,2607.08,2627.91,2597.7
1992-01-09,2679.14,2629.69,2681.25,2629.69
1992-01-10,2683.44,2684.54,2692.12,2660.03
1992-01-13,2680.0,2680.0,2680.0,2680.0
1992-01-14,2693.0,2693.0,2693.0,2693.0
1992-01-15,2754.0,2754.0,2754.0,2754.0
1992-01-16,2734.0,2734.0,2734.0,2734.0
1992-01-17,2700.0,2700.0,2700.0,2700.0
1992-01-20,2685.45,2676.65,2685.7,2665.53
1992-01-21,2685.65,2685.26,2700.2,2679.84
1992-01-22,2671.92,2672.42,2676.42,2667.92
1992-01-23,2673.19,2677.71,2682.87,2669.0
1992-01-24,2681.29,2660.54,2684.72,2657.87
1992-01-27,2705.3,2689.99,2705.88,2689.99
1992-01-28,2716.17,2707.62,2716.17,2703.77
1992-01-29,2700.77,2712.62,2717.54,2684.05
1992-01-30,2700.39,2687.2,2700.39,2685.69
1992-01-31,2711.79,2709.64,2718.92,2705.21
1992-02-03,2717.46,2705.96,2719.77,2704.41
1992-02-04,2737.82,2715.47,2740.92,2712.34
1992-02-05,2740.06,2744.26,2753.97,2738.12
1992-02-06,2726.69,2729.06,2735.27,2724.73
1992-02-07,2723.62,2716.46,2724.35,2708.8
1992-02-10,2728.13,2700.5,2730.41,2700.29
1992-02-11,2760.12,2737.06,2760.12,2737.06
1992-02-12,2762.03,2763.38,2767.93,2746.07
1992-02-13,2751.96,2775.62,2778.43,2748.47
1992-02-14,2755.81,2746.66,2756.81,2746.13
1992-02-17,2760.34,2747.76,2760.85,2745.36
1992-02-18,2787.68,2768.8,2787.68,2768.74
1992-02-19,2772.29,2779.95,2787.54,2757.74
1992-02-20,2783.32,2769.8,2783.32,2768.12
1992-02-21,2750.77,2763.71,2769.53,2741.16
1992-02-24,2772.12,2741.2,2774.58,2741.2
1992-02-25,2766.77,2791.87,2792.46,2759.44
1992-02-26,2802.28,2777.85,2804.12,2777.85
1992-02-27,2830.13,2824.48,2841.46,2824.34
1992-02-28,2857.18,2824.87,2858.98,2818.96
1992-03-02,2854.35,2847.84,2859.03,2846.22
1992-03-03,2849.37,2856.8,2863.67,2842.55
1992-03-04,2849.76,2850.76,2854.02,2847.52
1992-03-05,2829.73,2836.1,2836.76,2821.79
1992-03-06,2815.42,2807.52,2815.42,2806.31
1992-03-09,2821.59,2812.55,2824.78,2812.3
1992-03-10,2830.33,2829.81,2830.99,2823.87
1992-03-11,2821.76,2826.32,2829.91,2818.22
1992-03-12,2782.9,2762.75,2800.02,2760.19
1992-03-13,2792.38,2789.47,2799.3,2788.68
1992-03-16,2782.16,2792.78,2795.22,2780.18
1992-03-17,2787.47,2777.33,2787.47,2777.33
1992-03-18,2780.59,2782.3,2784.0,2774.56
1992-03-20,2779.12,2781.34,2785.24,2773.69
1992-03-23,2757.87,2772.22,2775.25,2747.56
1992-03-24,2756.48,2747.92,2756.54,2740.66
1992-03-25,2735.56,2755.71,2761.67,2734.01
1992-03-26,2751.53,2739.64,2751.79,2738.39
1992-03-27,2761.95,2751.89,2762.23,2751.51
1992-03-30,2756.0,2749.15,2756.4,2748.13
1992-03-31,2750.42,2758.05,2761.74,2745.03
1992-04-01,2724.97,2731.03,2731.11,2716.23
1992-04-02,2719.86,2727.22,2727.22,2709.86
1992-04-03,2698.51,2712.28,2713.11,2695.34
1992-04-06,2684.23,2689.15,2690.75,2672.94
1992-04-07,2689.33,2680.31,2697.11,2679.11
1992-04-08,2656.73,2664.5,2676.12,2654.62
1992-04-09,2661.35,2643.24,2663.84,2633.27
1992-04-10,2701.29,2690.49,2708.24,2688.47
1992-04-13,2676.54,2691.6,2693.56,2670.31
1992-04-14,2689.71,2676.54,2690.55,2668.45
1992-04-15,2721.4,2689.71,2730.23,2689.71
1992-04-20,2740.91,2721.4,2741.96,2721.4
1992-04-21,2735.51,2740.91,2740.91,2726.89
1992-04-22,2719.07,2735.51,2744.28,2716.71
1992-04-23,2692.37,2719.07,2719.07,2690.2
1992-04-24,2699.05,2689.43,2699.05,2683.24
1992-04-27,2693.52,2699.05,2699.05,2686.56
1992-04-28,2689.35,2686.28,2690.3,2683.79
1992-04-29,2694.09,2685.67,2694.11,2681.03
1992-04-30,2682.43,2684.24,2686.98,2675.56
1992-05-04,2681.38,2677.59,2683.29,2670.51
1992-05-05,2681.75,2688.77,2697.22,2678.23
1992-05-06,2691.68,2676.42,2692.18,2673.62
1992-05-07,2706.6,2694.38,2707.09,2694.33
1992-05-08,2740.91,2709.83,2740.91,2709.65
1992-05-11,2788.93,2763.75,2789.37,2763.46
1992-05-12,2776.61,2778.89,2788.93,2770.93
1992-05-13,2807.02,2773.89,2810.0,2773.89
1992-05-14,2810.24,2821.03,2835.18,2801.0
1992-05-15,2794.35,2810.24,2810.24,2784.55
1992-05-18,2805.69,2783.35,2807.02,2783.14
1992-05-19,2799.77,2808.81,2813.78,2793.48
1992-05-20,2802.41,2793.76,2804.3,2787.57
1992-05-21,2813.8,2803.64,2817.26,2803.64
1992-05-22,2810.12,2808.83,2812.38,2805.24
1992-05-25,2793.31,2791.53,2810.12,2786.97
1992-05-26,2793.46,2796.5,2796.91,2786.41
1992-05-27,2784.42,2793.46,2793.46,2779.37
1992-05-28,2793.05,2778.64,2795.52,2778.64
1992-05-29,2813.89,2795.65,2815.5,2795.65
1992-06-01,2809.73,2811.8,2813.89,2799.46
1992-06-02,2827.31,2818.27,2827.31,2817.43
1992-06-03,2802.23,2809.68,2811.27,2777.41
1992-06-04,2777.36,2781.33,2784.04,2768.84
1992-06-05,2741.17,2772.61,2772.61,2740.31
1992-06-08,2735.58,2741.8,2744.86,2730.57
1992-06-09,2702.13,2735.58,2735.58,2694.63
1992-06-10,2703.32,2697.62,2710.01,2696.63
1992-06-11,2680.79,2691.51,2692.19,2663.43
1992-06-12,2663.99,2652.36,2682.91,2648.01
1992-06-15,2643.81,2652.29,2657.59,2634.08
1992-06-16,2671.37,2643.92,2672.59,2643.59
1992-06-17,2667.09,2654.3,2673.29,2647.16
1992-06-18,2647.47,2653.54,2667.09,2637.85
1992-06-19,2683.44,2657.63,2690.59,2657.63
1992-06-22,2643.92,2672.11,2672.11,2639.95
1992-06-23,2620.14,2639.12,2643.92,2616.82
1992-06-24,2575.38,2603.78,2604.07,2566.73
1992-06-25,2591.78,2571.92,2592.51,2545.35
