Date,Close,Open,High,Low
1990-01-02,459.33,459.33,459.34,453.84
1990-01-03,460.9,460.9,461.72,459.31
1990-01-04,459.39,459.39,461.02,456.9
1990-01-05,458.22,458.22,459.47,457.72
1990-01-08,458.71,458.71,458.75,456.49
1990-01-09,456.77,456.77,459.73,456.64
1990-01-10,450.7,450.7,456.75,450.5
1990-01-11,448.86,448.86,452.51,448.83
1990-01-12,439.72,439.72,448.78,439.24
1990-01-15,436.64,436.64,439.74,436.37
1990-01-16,440.16,440.16,440.22,432.06
1990-01-17,438.68,438.68,442.56,438.48
1990-01-18,437.52,437.52,438.8,435.49
1990-01-19,440.88,440.88,441.25,437.52
1990-01-22,431.94,431.94,440.9,431.66
1990-01-23,430.42,430.42,433.85,428.86
1990-01-24,425.66,425.66,430.25,419.73
1990-01-25,425.24,425.24,429.1,425.05
1990-01-26,421.33,421.33,425.92,419.45
1990-01-29,418.11,418.11,422.96,416.41
1990-01-30,410.72,410.72,418.1,409.98
1990-01-31,415.81,415.81,415.9,410.74
1990-02-01,417.76,417.76,417.91,415.79
1990-02-02,422.21,422.21,423.35,417.51
1990-02-05,424.73,424.73,424.88,422.19
1990-02-06,423.99,423.99,425.24,422.08
1990-02-07,426.79,426.79,426.95,421.75
1990-02-08,427.32,427.32,430.29,426.79
1990-02-09,428.84,428.84,429.06,427.32
1990-02-12,426.38,426.38,428.87,425.76
1990-02-13,425.75,425.75,427.05,423.85
1990-02-14,426.56,426.56,427.25,425.46
1990-02-15,429.61,429.61,429.75,425.9
1990-02-16,429.01,429.01,430.92,428.85
1990-02-20,423.83,423.83,429.1,421.8
1990-02-21,421.52,421.52,423.72,418.31
1990-02-22,422.75,422.75,425.14,421.53
1990-02-23,419.52,419.52,422.7,418.05
1990-02-26,420.95,420.95,420.96,418.65
1990-02-27,422.61,422.61,423.56,420.96
1990-02-28,425.83,425.83,425.83,422.58
1990-03-01,427.21,427.21,427.8,424.44
1990-03-02,431.02,431.02,431.03,427.06
1990-03-05,430.15,430.15,433.2,429.36
1990-03-06,432.33,432.33,432.67,428.56
1990-03-07,432.47,432.47,433.52,432.03
1990-03-08,436.5,436.5,436.68,432.41
1990-03-09,436.76,436.76,437.17,435.41
1990-03-12,436.56,436.56,436.81,434.94
1990-03-13,434.58,434.58,437.05,434.55
1990-03-14,436.15,436.15,436.44,434.46
1990-03-15,438.06,438.06,438.38,436.02
1990-03-16,442.16,442.16,443.09,438.07
1990-03-19,442.91,442.91,443.01,439.01
1990-03-20,440.08,440.08,443.31,439.61
1990-03-21,439.3,439.3,440.96,439.19
1990-03-22,434.51,434.51,439.36,433.12
1990-03-23,437.25,437.25,437.82,434.52
1990-03-26,438.84,438.84,439.97,437.25
1990-03-27,439.5,439.5,439.79,436.93
1990-03-28,436.69,436.69,439.5,435.64
1990-03-29,435.42,435.42,436.84,434.55
1990-03-30,435.54,435.54,436.02,433.19
1990-04-02,433.18,433.18,435.46,430.77
1990-04-03,437.65,437.65,437.66,433.19
1990-04-04,435.42,435.42,438.37,434.8
1990-04-05,433.42,433.42,436.13,433.29
1990-04-06,430.9,430.9,434.0,430.61
1990-04-09,430.18,430.18,431.25,429.88
1990-04-10,431.9,431.9,432.14,429.84
1990-04-11,433.53,433.53,433.79,431.84
1990-04-12,436.31,436.31,436.75,433.53
1990-04-16,436.7,436.7,438.5,436.12
1990-04-17,435.42,435.42,436.68,433.44
1990-04-18,431.52,431.52,436.17,431.27
1990-04-19,429.0,429.0,431.5,428.81
1990-04-20,425.79,425.79,429.79,424.92
1990-04-23,420.08,420.08,425.76,418.15
1990-04-24,419.19,419.19,422.34,418.68
1990-04-25,420.56,420.56,420.79,419.17
1990-04-26,421.06,421.06,422.02,419.37
1990-04-27,417.98,417.98,421.48,417.44
1990-04-30,420.07,420.07,420.14,416.95
1990-05-01,421.85,421.85,422.33,420.07
1990-05-02,423.58,423.58,423.59,421.87
1990-05-03,425.44,425.44,426.64,423.6
1990-05-04,428.61,428.61,428.64,425.48
1990-05-07,431.23,431.23,431.7,428.55
1990-05-08,431.84,431.84,431.91,430.62
1990-05-09,431.34,431.34,431.93,430.48
1990-05-10,433.2,433.2,433.54,431.02
1990-05-11,438.1,438.1,438.25,433.08
1990-05-14,441.61,441.61,443.13,438.06
1990-05-15,442.5,442.5,442.61,439.97
1990-05-16,442.93,442.93,442.95,440.31
1990-05-17,445.74,445.74,445.8,442.88
1990-05-18,448.31,448.31,448.52,444.97
1990-05-21,452.89,452.89,452.89,448.23
1990-05-22,453.89,453.89,455.62,452.09
1990-05-23,456.87,456.87,456.91,453.11
1990-05-24,458.29,458.29,458.87,456.86
1990-05-25,453.69,453.69,458.26,452.95
1990-05-29,457.51,457.51,457.63,453.54
1990-05-30,458.77,458.77,459.98,457.52
1990-05-31,458.97,458.97,459.98,457.44
1990-06-01,462.13,462.13,462.56,459.1
1990-06-04,465.61,465.61,465.72,460.48
1990-06-05,464.61,464.61,467.62,463.99
1990-06-06,464.96,464.96,465.18,463.15
1990-06-07,464.09,464.09,466.61,462.35
1990-06-08,460.87,460.87,464.11,459.2
1990-06-11,462.79,462.79,462.81,458.39
1990-06-12,466.56,466.56,466.59,462.81
1990-06-13,468.86,468.86,469.42,466.56
1990-06-14,467.1,467.1,468.92,465.81
1990-06-15,467.89,467.89,468.31,466.15
1990-06-18,460.79,460.79,467.59,460.44
1990-06-19,460.53,460.53,461.05,458.6
1990-06-20,460.8,460.8,462.34,459.52
1990-06-21,461.27,461.27,461.36,459.19
1990-06-22,459.33,459.33,462.87,459.25
1990-06-25,455.64,455.64,459.76,455.44
1990-06-26,455.38,455.38,458.16,455.13
1990-06-27,456.89,456.89,457.2,453.1
1990-06-28,460.38,460.38,460.52,456.9
1990-06-29,462.29,462.29,462.54,460.39
1990-07-02,462.04,462.04,462.46,461.32
1990-07-03,461.76,461.76,462.05,460.73
1990-07-05,459.19,459.19,461.75,458.27
1990-07-06,460.53,460.53,460.75,457.54
1990-07-09,461.68,461.68,462.26,460.54
1990-07-10,460.97,460.97,462.75,460.66
1990-07-11,463.9,463.9,463.97,460.24
1990-07-12,467.17,467.17,467.26,463.18
1990-07-13,468.44,468.44,470.3,466.92
1990-07-16,469.6,469.6,470.17,468.06
1990-07-17,464.48,464.48,470.02,463.81
1990-07-18,460.82,460.82,464.5,459.83
1990-07-19,458.17,458.17,460.8,455.25
1990-07-20,455.27,455.27,459.77,455.08
1990-07-23,444.64,444.64,455.27,441.24
1990-07-24,442.56,442.56,445.8,438.13
1990-07-25,445.45,445.45,445.9,442.56
1990-07-26,445.43,445.43,447.06,444.33
1990-07-27,442.59,442.59,445.47,442.13
1990-07-30,439.38,439.38,442.58,436.77
1990-07-31,438.24,438.24,440.06,436.76
1990-08-01,435.91,435.91,438.59,435.07
1990-08-02,428.89,428.89,435.84,427.35
1990-08-03,417.46,417.46,428.9,408.08
1990-08-06,400.04,400.04,417.34,399.42
1990-08-07,402.08,402.08,406.72,400.11
1990-08-08,407.73,407.73,408.01,402.06
1990-08-09,412.98,412.98,413.17,407.73
1990-08-10,408.03,408.03,413.22,406.27
1990-08-13,408.3,408.3,408.58,404.07
1990-08-14,410.33,410.33,410.63,408.35
1990-08-15,411.45,411.45,413.35,410.3
1990-08-16,402.27,402.27,411.45,402.21
1990-08-17,393.49,393.49,402.22,389.65
1990-08-20,388.59,388.59,394.08,388.31
1990-08-21,379.68,379.68,388.55,375.74
1990-08-22,374.84,374.84,383.02,374.75
1990-08-23,360.22,360.22,374.73,359.67
1990-08-24,367.33,367.33,367.37,360.26
1990-08-27,381.27,381.27,382.22,367.35
1990-08-28,382.86,382.86,383.33,380.51
1990-08-29,381.78,381.78,383.48,380.41
1990-08-30,378.68,378.68,383.19,378.39
1990-08-31,381.21,381.21,381.34,377.22
